racekey,horse_number,horse_name,order_of_finish,popularity,horse_weight,tanshou_odds,hukushou_odds,tanshou_odds_at10,hukushou_odds_at10,IDM,hot_code,raceid,order_of_finish_num,popularity_num,horse_weight_num,tanshou_odds_num,tanshou_odds_at10_num,IDM_num,hot_code_num,tanshou_flag
615180213,1210908020150124,ワンダービート　　　　　　　　　　　,15,16,456,367.2,44.3,174.5,18.9,10,3,6151802,15,16,456,367.2,174.5,10.0,3.0,False
615180214,1210126320150124,アングルブラケット　　　　　　　　　,9,5,478,14.4,3.3,12.6,3.3,18,3,6151802,9,5,478,14.4,12.6,18.0,3.0,False
615180215,1210100220150124,エメラルドビーム　　　　　　　　　　,14,7,494,20.9,4.3,13.1,4,12,3,6151802,14,7,494,20.9,13.1,12.0,3.0,False
615180216,1210230120150124,ロードシャリオ　　　　　　　　　　　,1,10,472,34.7,7.8,22.4,5.7,40,3,6151802,1,10,472,34.7,22.4,40.0,3.0,True
615180301,1210014120150124,デルタタイム　　　　　　　　　　　　,14,7,456,45.5,5.1,27,5.3,13,3,6151803,14,7,456,45.5,27.0,13.0,3.0,False
615180302,1210113520150124,ジルコン　　　　　　　　　　　　　　,12,9,398,81.1,9.6,54.6,6.5,11,3,6151803,12,9,398,81.1,54.6,11.0,3.0,False
615180303,1210628220150124,マリンブルー　　　　　　　　　　　　,16,15,442,390,76.2,289.9,44.8,3,3,6151803,16,15,442,390.0,289.9,3.0,3.0,False
615180304,1210553120150124,エンドオブデイズ　　　　　　　　　　,7,5,424,13.9,2.1,17.6,3.7,26,3,6151803,7,5,424,13.9,17.6,26.0,3.0,False
615180305,1210611520150124,ジャイアントアイ　　　　　　　　　　,10,12,486,123.2,14,83.8,11.5,16,3,6151803,10,12,486,123.2,83.8,16.0,3.0,False
615180306,1210555120150124,フラッグシップ　　　　　　　　　　　,15,8,508,55.9,8.5,37.7,6.8,9,3,6151803,15,8,508,55.9,37.7,9.0,3.0,False
615180307,1211006420150124,ストリートオベロン　　　　　　　　　,9,1,456,1.9,1.1,2.3,1.1,19,3,6151803,9,1,456,1.9,2.3,19.0,3.0,False
615180308,1210214320150124,カガテディ　　　　　　　　　　　　　,13,16,432,399.4,42.6,194.7,20.6,13,3,6151803,13,16,432,399.4,194.7,13.0,3.0,False
615180309,1210252020150124,リリーグランツ　　　　　　　　　　　,4,6,436,35.8,4.4,27.5,3.8,28,3,6151803,4,6,436,35.8,27.5,28.0,3.0,False
615180310,1210595520150124,ショウナンバディー　　　　　　　　　,11,14,460,294.5,36.1,248.6,33.2,14,3,6151803,11,14,460,294.5,248.6,14.0,3.0,False
615180311,1210619120150124,アサマ　　　　　　　　　　　　　　　,1,4,478,7.5,1.6,5.9,1.3,39,3,6151803,1,4,478,7.5,5.9,39.0,3.0,True
615180312,1210110620150124,エスティルンバ　　　　　　　　　　　,5,13,422,134.9,11.6,76,9,28,3,6151803,5,13,422,134.9,76.0,28.0,3.0,False
615180313,1210189420150124,スレッジハンマー　　　　　　　　　　,2,3,472,5.8,1.4,4.7,1.5,37,3,6151803,2,3,472,5.8,4.7,37.0,3.0,False
615180314,1210546920150124,ポワソンダブリル　　　　　　　　　　,8,11,458,92.8,9.5,82,9.3,21,3,6151803,8,11,458,92.8,82.0,21.0,3.0,False
