racekey,horse_number,horse_name,order_of_finish,popularity,horse_weight,tanshou_odds,hukushou_odds,tanshou_odds_at10,hukushou_odds_at10,IDM
1016151214,1110177620160227,ビリーヴザワン　　　　　　　　　　　,14,3,470,6.7,1.9,11.7,3.5,43
1016151215,1210469020160227,ビットレート　　　　　　　　　　　　,2,4,456,7,2.1,7.5,2.2,52
1016151216,1210335620160227,ハコダテローズ　　　　　　　　　　　,12,12,416,46.2,9.4,20,5.3,44
1016151217,1210364620160227,グレイスフルワード　　　　　　　　　,18,15,410,70.5,12.5,28.6,5.1,32
1016151218,1110064720160227,オートクレール　　　　　　　　　　　,4,10,432,37,5.6,26.7,5.7,50
216260101,1410634120160724,ルミノーザ　　　　　　　　　　　　　,8,9,448,51.1,6.1,53.8,5.9,23
216260102,1410167820160724,ピーチメルバ　　　　　　　　　　　　,6,10,448,150,15.9,72.2,8,24
216260103,1410364720160724,ジェイケイマヤヒメ　　　　　　　　　,5,5,462,18.3,3,15.6,3.1,27
216260104,1410004920160724,ティラール　　　　　　　　　　　　　,4,4,450,8,1.5,7.6,1.5,27
216260105,1410512620160724,スカイプリンセス　　　　　　　　　　,11,11,442,197.7,14.1,133.8,11.7,6
216260106,1410432120160724,ジャストヒーロー　　　　　　　　　　,9,13,456,223.1,27.6,189.3,26.4,19
216260107,1410069120160724,ソレイユフルール　　　　　　　　　　,1,6,462,22.6,3.2,18.7,3.7,36
216260108,1410015920160724,ウィンドライジズ　　　　　　　　　　,2,1,436,2.3,1.1,2.3,1.1,36
216260109,1410515620160724,サクセスムーン　　　　　　　　　　　,7,8,442,44.8,5,38.6,3.7,25
216260110,1410162620160724,アポロミッション　　　　　　　　　　,3,3,462,7.2,1.4,11.3,1.6,34
216260111,1411002720160724,スピリットオブラヴ　　　　　　　　　,0,2,460,3.4,1.3,3.2,1.3,   
216260112,1410320920160724,ソービック　　　　　　　　　　　　　,10,7,414,23.2,3.3,20.3,3.2,17
216260113,1410315220160724,ペイシャムーラン　　　　　　　　　　,0,12,442,214.7,35.7,82.2,21.9,   
216260201,1310577320160724,アメジストデュー　　　　　　　　　　,6,5,530,13,3.4,12.9,3.5,30
216260202,1310481220160724,トロントロン　　　　　　　　　　　　,2,6,444,14.7,2.6,16.5,2.3,36
216260203,1310600920160724,タイセイアモーレ　　　　　　　　　　,11,10,456,67.5,9.4,40.5,6,26
216260204,1310335620160724,サマンサ　　　　　　　　　　　　　　,5,12,418,119.3,15.5,54.7,6.9,31
216260205,1310563020160724,ロイヤルフレア　　　　　　　　　　　,3,3,418,4.8,1.3,3,1.6,34
216260206,1310135920160724,タツデンコーセッカ　　　　　　　　　,7,4,450,9.9,2.4,9.7,3.2,29
216260207,1310358520160724,スリーサンレーザー　　　　　　　　　,8,11,476,112.6,14.3,59.6,6.5,30
216260208,1310009420160724,イエスアイゲット　　　　　　　　　　,10,8,426,17.9,3.3,20.6,3.6,26
216260209,1310454320160724,フジワンエンジェル　　　　　　　　　,1,2,446,3.4,1.3,5.9,1.6,42
216260210,1310014220160724,キタノタイセツ　　　　　　　　　　　,12,7,416,17.2,4.5,6.2,2.8,19
216260211,1310294020160724,ホッコーパフューム　　　　　　　　　,9,9,466,18.1,3.5,18.1,3,25
